gene_id	gene_name	g4e	p_unified	epi25_min_p	meta_sig
ENSG00000008838	MED24	False	0.1652030361691294	0.023256	False
ENSG00000008853	RHOBTB2	True	0.010650372894993532	0.14247	False
ENSG00000008869	HEATR5B	False	0.7966524837692183	0.03416	False
ENSG00000008952	SEC62	False	0.32000541074913164		False
ENSG00000009307	CSDE1	False	0.033721390106750335	0.0085407	False
ENSG00000009335	UBE3C	False	0.21268871470334533	0.038592	False
ENSG00000009413	REV3L	False	0.009387513112743667	0.097871	False
ENSG00000009709	PAX7	False	0.5266695663997387	0.36975	False
ENSG00000009724	MASP2	False	0.001239739792887406	0.4407	False
ENSG00000009765	IYD	False	0.07389351518398915	0.30514	False
ENSG00000009780	FAM76A	False	0.14507135946409214	0.16717	False
ENSG00000009790	TRAF3IP3	False	0.2196885971569209	0.084091	False
ENSG00000009830	POMT2	True	0.0033724790758166367	0.030252	False
ENSG00000009844	VTA1	False	0.1405310990498018	0.2246	False
ENSG00000009950	MLXIPL	False	0.21947351841190813	0.15921	False
ENSG00000009954	BAZ1B	False	0.17692014775315282	0.171	False
ENSG00000010017	RANBP9	False	0.23599001643465467	0.07435	False
ENSG00000010030	ETV7	False	0.2291277304438071	0.25062	False
ENSG00000010072	SPRTN	False	0.3776725603458126	0.44178	False
ENSG00000010219	DYRK4	False	0.006526480734119724	0.52708	False
ENSG00000010244	ZNF207	False	0.004052006308586493	0.11465	False
ENSG00000010256	UQCRC1	False	0.03283716487681067	0.036675	False
ENSG00000010270	STARD3NL	False	0.8898278315590399	0.39334	False
ENSG00000010278	CD9	False	0.3691300114126099	0.1019	False
ENSG00000010282	HHATL	False	0.17880460969809053	0.29231	False
ENSG00000010292	NCAPD2	False	0.42181861209260263	0.34268	False
ENSG00000010295	IFFO1	False	0.19905386622213792	0.096801	False
ENSG00000010310	GIPR	False	0.13076689679557862	0.031211	False
ENSG00000010318	PHF7	False	0.46829335575334874	0.28077	False
ENSG00000010319	SEMA3G	False	0.17093955563201998	0.2417	False
ENSG00000010322	NISCH	False	0.01599445423077906	0.015101	False
ENSG00000010327	STAB1	False	0.5938149486392099	0.8484	False
ENSG00000010361	FUZ	False	0.1555266449478422	0.09147	False
ENSG00000010379	SLC6A13	False	0.06770478406045734	0.51335	False
ENSG00000010438	PRSS3	False	0.08768734572168689	0.16586	False
ENSG00000010539	ZNF200	False	0.33814068733637753	0.27704	False
ENSG00000010610	CD4	False	0.451744032205053	0.1919	False
ENSG00000010626	LRRC23	False	0.08628506211270502	0.11876	False
ENSG00000010704	HFE	False	0.11944375932450665	0.61486	False
ENSG00000010803	SCMH1	False	0.23492864397781404	0.019523	False
ENSG00000010810	FYN	False	0.13129210996918514	0.48626	False
ENSG00000010818	HIVEP2	True	0.3432159305199447	0.14051	False
ENSG00000010932	FMO1	False	0.16078755577629206	0.27323	False
ENSG00000011009	LYPLA2	False	0.2886271156938272	0.12099	False
ENSG00000011021	CLCN6	True	0.2647740537593909	0.35061	False
ENSG00000011028	MRC2	False	0.10454031202395214	0.1966	False
ENSG00000011083	SLC6A7	False	0.015050720025007066	0.051271	False
ENSG00000011105	TSPAN9	False	0.10114967824894605	0.36176	False
ENSG00000011114	BTBD7	False	0.008626447018125373	0.43285	False
ENSG00000011132	APBA3	False	0.22171974592410995	0.03222	False
ENSG00000011143	MKS1	False	0.1379767356535152	0.18297	False
ENSG00000011198	ABHD5	False	0.0014877772754847095	0.1717	False
ENSG00000011243	AKAP8L	False	0.05475908536324113	0.091805	False
ENSG00000011258	MBTD1	False	0.25286220997275743	0.33881	False
ENSG00000011260	UTP18	False	0.014899154022984116	0.23969	False
ENSG00000011275	RNF216	False	0.62579145648674	0.52493	False
ENSG00000011295	TTC19	False	0.885381680500756	0.079193	False
ENSG00000011304	PTBP1	True	0.41007170330557297	0.39366	False
ENSG00000011332	DPF1	False	0.35894474039519525	0.26053	False
ENSG00000011347	SYT7	False	0.007318321688304169	0.13175	False
ENSG00000011376	LARS2	False	0.19124977974283022	0.21551	False
ENSG00000011405	PIK3C2A	False	0.1785364261154646	0.21453	False
ENSG00000011422	PLAUR	False	0.05851768045959185	0.25126	False
ENSG00000011426	ANLN	False	0.18149694459813534	0.47991	False
ENSG00000011451	WIZ	False	0.12675785916500404	0.32639	False
ENSG00000011454	RABGAP1	True	0.04938258721135113	0.0052442	False
ENSG00000011465	DCN	False	0.16058678443694993	0.057505	False
ENSG00000011478	QPCTL	False	0.5154491384018354	0.42193	False
ENSG00000011485	PPP5C	False	0.0027082047023039542	0.035772	False
ENSG00000011523	CEP68	False	0.676093529834487	0.32841	False
ENSG00000011566	MAP4K3	False	0.3350115551714167	0.18046	False
ENSG00000011590	ZBTB32	False	0.44850226112541036	0.2721	False
ENSG00000011600	TYROBP	False	0.16358331455638406	0.49118	False
ENSG00000012048	BRCA1	False	0.1907407627820426	0.015057	False
ENSG00000012061	ERCC1	False	0.5244577119305474	0.32926	False
ENSG00000012124	CD22	False	0.6234640295318459	0.11148	False
