Gene Name,Group,G4E,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
LEFTY2,DEE,False,89,2.1908882676367366e-05,0.35099159597155427,0.8797434777664302,3.6986460367722358e-09,0.021268032580396293,0.68245,0.048647,9.672612050652381e-06
CHD1,DEE,True,145,2.0043921093772017e-07,0.10844763503995186,0.7793181619094791,0.03541856644912694,0.001991762675858193,0.41593,0.17536,1.0099654474438453e-05
HMCN1,DEE,False,1215,3.4031331633794206e-06,0.5173779514426325,0.589303229490334,3.720469667738625e-28,4.790349383575016e-45,,0.12575,1.0131437478325108e-05
TAS2R20,DEE,False,69,9.742985947192717e-07,0.7819949036743206,0.29090511079706177,7.558009298184058e-06,3.406040236748411e-06,,,1.1583069538363468e-05
SYNE1,DEE,True,1981,0.03923033278606356,0.8251744566277314,0.0037409625558382474,5.113591363925283e-38,4.9726168302631676e-45,,0.0008712,1.193821407032033e-05
ARV1,DEE,True,53,9.362345716432709e-05,0.13296972205535695,0.4547336955211675,5.671259296001701e-07,0.5091813044919609,,0.10286,1.2614726683731474e-05
RNGTT,DEE,False,64,8.522284315004053e-07,0.20870787677185654,0.38663755198433847,0.024949211933651138,5.905442862100737e-05,0.61513,0.67194,1.3226411126523945e-05
ISG20L2,DEE,False,75,9.534638294325566e-05,0.0014332485254485194,0.19594196385840174,2.133697254069553e-05,0.00013797237565668925,,0.34058,1.430457174005394e-05
IKZF2,DEE,False,115,0.01273219872966604,0.2670668058807583,0.40738745526329434,1.6660571845132537e-07,0.1891708993435656,0.14551,0.021741,1.482385346213528e-05
HTR1B,DEE,False,69,0.009279275807420056,0.631878392869959,0.044287487600366,6.761902658797821e-08,0.1656458420405492,0.4865,0.018662,1.5166119388879747e-05
UBTD2,DEE,False,35,0.04164388341919541,0.04415471073356332,0.34526646385605186,3.6836708168374924e-08,0.608147134339079,,0.034679,1.5676145290271696e-05
