gene_id	gene_name	group	n_variants	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified	p_constraint
ENSG00000004399	PLXND1	DEE	331	0.3720517301272752	0.18845376805764652	1.253628108244381e-06	6.445406059315554e-06	0.008415768860564552	0.01292477879976779
ENSG00000004399	PLXND1	EPI	446	0.35312054220094635	0.9644438163651098	0.49242357313047913	0.5360360093532499	0.6330069936325471	0.2230507957517714
ENSG00000004399	PLXND1	GGE	350	0.0723565341210187	0.3022582942954641	0.022958090268312387	0.021189293360132325	0.1734712084316382	0.2093236091415722
ENSG00000004399	PLXND1	NAFE	373	0.7714288016876316	0.7575758723262138	0.9559038203181075	0.010931173648087003	0.8463191619320952	0.5744728484439376
ENSG00000004455	AK2	DEE	66	0.8297933561905251	0.2609057777549935	0.4764727590785275	2.9630338748720496e-07	0.1879125925085511	0.8047318372971983
ENSG00000004455	AK2	EPI	75	0.7840672893807004	0.4632576240166737	0.5654630998717505	0.6396666821523214	0.8909182868219194	0.9959973234852005
ENSG00000004455	AK2	GGE	68	0.12650576125350943	0.12587707381491056	0.1208246269924689	0.604388956989492	0.31212852283664894	0.9849853087897857
ENSG00000004455	AK2	NAFE	73	0.5936507110606567	0.7784221125747095	0.8468666593509834	0.014670150547169313	0.8100697512345525	0.6856853170444213
ENSG00000004468	CD38	DEE	49	0.6313753518043144	0.9746326550525484	0.003558144490702707	0.0002048433041941134	0.8604074997455358	0.30914782627181425
ENSG00000004468	CD38	EPI	63	0.3003592098547498	0.9672849725391381	0.40468666775441253	0.7948032093970161	0.36816831694174124	0.09516020479019238
ENSG00000004468	CD38	GGE	51	0.2245929198029065	0.9887113716886411	0.027640661749138234	0.3832666496241838	0.1170048509306593	0.03213887430677375
ENSG00000004468	CD38	NAFE	55	0.6715642370519144	0.6121018065170621	0.10811095974515374	0.19491280211423823	0.6189808594358721	0.17113508212017928
ENSG00000004478	FKBP4	DEE	88	0.8704502350025605	0.1772071939864654	0.07311194603277484	3.689413954639518e-05	0.7327567379685589	0.987610958992296
ENSG00000004478	FKBP4	EPI	117	0.9636027342968789	0.7257327749411357	0.5341796663288554	0.8315600855667161	0.8380811193252549	0.2943849987524239
ENSG00000004478	FKBP4	GGE	95	0.03056821172837777	0.6658422455149116	0.23237313738780205	0.2841160238992252	0.14159605783270465	0.31744742435025963
ENSG00000004478	FKBP4	NAFE	107	0.44796374582188125	0.6989148358942979	0.17053093178788478	0.5034271050136776	0.6919708739470277	0.24605600210590478
