Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,SCHEMA p-value
ENSG00000003989,SLC7A2,meta,362,0.8668815696587753,0.7296142775226364,0.4897395898235377,0.08406078505642532,0.08723104685924085,0.6082288443010394,0.817
ENSG00000004059,ARF5,meta,34,0.5670670184076811,0.3720732138641242,0.20554048750271525,0.9225930641696876,0.5546033980053451,0.511730107427975,0.804
ENSG00000004139,SARM1,meta,129,0.5732710435172228,0.4577376297982637,0.6017712248260977,0.9995799179454916,0.0020450108812826687,0.5361240526791724,0.666
ENSG00000004142,POLDIP2,meta,66,0.30457961602597566,0.9105657147988722,0.6135039346999029,0.22101049132704964,0.5395180794203336,0.8140721910340263,0.728
ENSG00000004399,PLXND1,meta,443,0.6208988843469699,0.4725844071790888,0.19455863274539825,0.2769661731256812,0.015468322521720056,0.6544181961561315,0.355
ENSG00000004455,AK2,meta,85,0.7120485110565482,0.3155465833192688,0.3461444417451284,0.858091913507034,0.7509424857917234,0.8094118127646464,0.561
ENSG00000004468,CD38,meta,121,0.7955872162385466,0.6664285166688023,0.3449043832294697,0.4372402477138533,0.2813466267186505,0.7407983515001627,0.958
ENSG00000004478,FKBP4,meta,128,0.5447029666065861,0.906904600038142,0.20906239521600653,0.07187176553719868,0.5505248640191207,0.642247412246161,0.754
ENSG00000004487,KDM1A,meta,150,0.016847332743848135,0.7585731320867508,0.02515326000550815,0.08504593430070786,0.410599802768437,0.011002594216657571,0.201
ENSG00000004534,RBM6,meta,350,0.31746149862174605,0.5379824072338746,0.7375175645455714,0.23716973431805655,0.3578833116973551,0.7996352042199788,0.18
ENSG00000004660,CAMKK1,meta,172,0.30222770868095483,0.8735547324900085,0.7963192572022615,0.20984732435934242,0.2573998911325668,0.8122499873678425,0.518
ENSG00000004700,RECQL,meta,231,0.549281279793594,0.7429305225995595,0.6885302210186619,0.003799541976503968,0.06411206454328804,0.715500564812728,0.178
ENSG00000004766,VPS50,meta,129,0.6316496638028622,0.2854874748902031,0.7675546475140188,0.039334620203309,0.196797735567062,0.6400882645472576,0.287
ENSG00000004777,ARHGAP33,meta,394,0.37672483020544745,0.480773940885889,7.101097368258328e-08,0.006999328846389904,7.28066232153458e-15,0.6771813240535467,1.0
ENSG00000004779,NDUFAB1,meta,52,0.2483689933825684,0.9601234785436578,0.39643752857413284,0.8768519292560364,0.3694565011335047,0.47978749022455647,1.0
ENSG00000004799,PDK4,meta,117,0.693695266664659,0.8819658164207969,0.9757716042385728,0.0635926751435254,0.22425591091607283,0.9616082760962841,0.833
ENSG00000004809,SLC22A16,meta,261,0.3851582808445734,0.3996091376066726,0.5168613614029882,0.005005069394873514,0.033096967903662435,0.54059691116251,0.309
ENSG00000004838,ZMYND10,meta,161,0.09812769903124928,0.6997039016736373,0.18189887649779377,0.17613590930082337,0.039261727963588504,0.2467924242155994,0.958
ENSG00000004846,ABCB5,meta,555,0.613193998747003,0.5385002356684165,0.11767288672387281,0.030592946819275664,2.2533861293089504e-08,0.4356547727335418,0.516
ENSG00000004864,SLC25A13,meta,276,0.25690443751322356,0.2288990107716996,0.9060046873932717,0.16629924929510959,0.006758537472720433,0.5811758311138377,0.761
ENSG00000004866,ST7,meta,99,0.0838015720080747,0.5269136545687853,0.03534113544153564,0.14910715806455338,0.7367575177165991,0.028681472802516282,0.391
ENSG00000004897,CDC27,meta,60,0.5430469440093976,0.7636047175553107,0.07573707330061302,0.9458170570883984,0.2591568630037446,0.4330321317250696,0.318
ENSG00000004939,SLC4A1,meta,291,0.11852335670267505,0.9859461651964829,0.023151175294526337,0.639407189632508,0.12750855786430565,0.010258457127380296,0.076
ENSG00000004948,CALCR,meta,190,0.0005160856422844678,0.3746236416505635,0.6797092401199777,0.2344058987709254,0.003395397809945577,0.010879441746014714,0.219
ENSG00000004975,DVL2,meta,307,0.8643368492597255,0.527099481092444,0.44115355258567834,0.03353704566432458,0.28649416897859264,0.7379595927795574,0.5
ENSG00000005001,PRSS22,meta,101,0.009462778201279531,0.07331599636751754,0.4380261643086065,0.8210436742418281,0.043933210997943076,0.0239270294716802,0.717
ENSG00000005007,UPF1,meta,223,0.785318663262594,0.5525379863793076,0.037615862321197104,0.0025696313838587527,0.3784653827677208,0.048760335407118306,0.058
ENSG00000005020,SKAP2,meta,80,0.20130145867125948,0.15501757688041373,0.6344958618163936,0.3113611441876128,0.31339299607837756,0.36587899282649305,0.126
ENSG00000005059,MCUB,meta,43,0.5936960629003398,0.6329689050614842,0.18101164070460268,0.2640078022565858,0.0289331753288147,0.6785901321167394,0.24
ENSG00000005073,HOXA11,meta,89,0.5844068287085571,0.7277309264723859,0.5297277501225712,0.9576042922232915,0.12943240449464752,0.8903068936228392,0.697
ENSG00000005075,POLR2J,meta,25,0.654150103906539,0.9048447772701402,0.13629267358843322,0.2961034937197935,0.9247152164515376,0.5373556739464476,0.554
ENSG00000005100,DHX33,meta,288,0.1442728662422601,0.5643579762443802,0.453308647138,0.12038562045276535,0.011118403390631148,0.5329776433677176,0.985
ENSG00000005102,MEOX1,meta,96,0.2819322554690923,0.605834129314855,0.7301234260866517,0.48816230516428816,0.16701652336792225,0.8281749227259506,1.0
ENSG00000005108,THSD7A,meta,1317,0.13796090375844136,0.9324290809605356,0.2701099896244287,0.6325812221233098,0.0003402930700911534,0.41037868585969284,0.149
ENSG00000005156,LIG3,meta,385,0.19835752275826724,0.9491012022677088,0.8728293203379344,0.17004147934736868,0.0014730716425927545,0.7445382748896774,0.328
ENSG00000005175,RPAP3,meta,158,0.36776741962620974,0.19604726433982442,0.5767573475698028,0.005508762650271496,0.4424742512012616,0.30299929655757557,0.124
ENSG00000005187,ACSM3,meta,238,0.9343829494473079,0.2994381560321284,0.6701519381662512,0.1629776678702384,0.0019308026027178764,0.8428881250401733,0.92
ENSG00000005194,CIAPIN1,meta,96,0.305657344695745,0.6808413619405378,0.31422650697223475,0.928307179940855,0.8347360847733416,0.8017347177137997,1.0
ENSG00000005238,ATOSB,meta,166,0.7468257939401249,0.016038911889615513,0.020193187474064993,0.0026887897303402523,0.38829788419330413,0.013466498076231598,0.0375
ENSG00000005243,COPZ2,meta,74,0.6683850100386308,0.6545126438299521,0.5620908746231659,0.4972739750880455,0.07545100168499601,0.9562313883848533,0.377
ENSG00000005249,PRKAR2B,meta,65,0.881821116868125,0.716659950367108,0.40848030604141994,0.9372852500497583,0.3537304864942913,0.8833241093869371,0.783
ENSG00000005339,CREBBP,meta,745,0.5262575554836476,0.024965610462281317,0.6912809479254385,0.3905155508977748,0.28544812524584623,0.19309948998593285,0.934
