Gene ID,Gene Name,Group,Constraint p-value,Pathogenicity p-value,pLoF p-value,Unified Model p-value,Epi25 p-value
ENSG00000006282,SPATA20,DEE,0.691494396399924,0.759360563266773,0.3408861287349807,0.7573397187154698,
ENSG00000006283,CACNA1G,DEE,0.2668276484286386,0.927201073308895,0.1552793219314056,0.4350224317759256,0.35761
ENSG00000006327,TNFRSF12A,DEE,0.5756978387961413,0.3249154452028703,,0.4400604473007442,
ENSG00000006432,MAP3K9,DEE,0.6861174057569244,0.159666218932958,0.8054810902073102,0.527753923546876,
ENSG00000006451,RALA,DEE,0.3087656176718676,0.839717568384926,,0.5282460883890586,0.3657
ENSG00000006453,BAIAP2L1,DEE,0.9608398108950184,0.2838919090520074,0.9710356084587234,0.7523079098938279,
ENSG00000006459,KDM7A,DEE,0.1797381389432625,0.4202989393406366,0.910004163965388,0.509241237788808,0.93116
ENSG00000006530,AGK,DEE,0.6509196819367562,0.940334938511962,0.1059877127514019,0.3894481204843964,
ENSG00000006534,ALDH3B1,DEE,0.9619439440050718,0.3442247956695679,0.4462577773174201,0.6745645341345265,
ENSG00000006555,TTC22,DEE,0.1141832209301675,0.2623427252139507,0.446390455413292,0.1713504294917835,
ENSG00000006576,PHTF2,DEE,0.2547034342132769,0.8274515725274956,0.0002721864924535,0.0006057674051615,0.76753
ENSG00000006606,CCL26,DEE,0.3613401351686922,0.8737575669686228,,0.6213612141756683,
ENSG00000006607,FARP2,DEE,0.1515163833534179,0.8391223427728094,0.1736937490495462,0.2796474037475361,
ENSG00000006611,USH1C,DEE,0.0059972851622716,0.5949643128207732,0.2397143186861769,0.0239513768220392,
ENSG00000006625,GGCT,DEE,0.977211552726234,0.8499459830721445,,0.9656256248225896,
ENSG00000006634,DBF4,DEE,0.7156502373238409,0.8811620308663238,0.9935642343237392,0.9828648195076624,
ENSG00000006638,TBXA2R,DEE,0.6945893358673142,0.9424170937113886,0.2698377734611619,0.7019730470302561,0.48184
ENSG00000006652,IFRD1,DEE,0.9176597427910363,0.1560636870954962,0.7325524639968691,0.5296087781189845,
ENSG00000006659,LGALS14,DEE,0.9319470837154012,0.884291528074794,0.4113365676397819,0.8722955116716842,
ENSG00000006695,COX10,DEE,0.8226613148148723,0.2559623717220493,0.6452388276080636,0.7003011095020755,
ENSG00000006704,GTF2IRD1,DEE,0.0305456540512892,0.0730020380584534,0.8929304556627452,0.0723577613232763,
ENSG00000006712,PAF1,DEE,0.2699799203149925,0.0528301828148286,0.7864426176110069,0.2660781708275079,0.28174
ENSG00000006715,VPS41,DEE,0.0076955370935856,0.1209641882920014,0.5100346497946511,0.0172207744570725,
ENSG00000006740,ARHGAP44,DEE,0.3454667808969803,0.7568900527910148,0.560073039706438,0.7318807986044804,
ENSG00000006744,ELAC2,DEE,9.340179062245094e-05,0.6747641508384369,0.1783860537526452,0.0005940138717514,
ENSG00000006747,SCIN,DEE,0.9926605911056188,0.6916151351142481,0.5265404248823908,0.9129216064458834,
ENSG00000006788,MYH13,DEE,0.0736095144896824,0.0856384455255028,0.0045830983610567,0.002692468450636,
ENSG00000006831,ADIPOR2,DEE,0.8104978675517025,0.4380562304498651,0.5101853370855443,0.7388126410935454,0.61668
ENSG00000006837,CDKL3,DEE,0.905356226034294,0.7674252943140698,0.8939962725906816,0.9866064899745662,
ENSG00000007001,UPP2,DEE,0.6000380381432612,0.9748708449981892,0.3594936741918809,0.8202099464144819,
ENSG00000007038,PRSS21,DEE,0.790030509623158,0.4378472437869384,0.4118451518187245,0.7545113138283914,
ENSG00000007047,MARK4,DEE,0.5408929169375433,0.5436336932583601,0.9688554219051768,0.8814244650095345,0.54137
ENSG00000007062,PROM1,DEE,0.943829868728122,0.79921376216991,0.6949195627948267,0.9715506295735352,
ENSG00000007080,CCDC124,DEE,0.6070073072586419,0.6762263926115979,0.5044932820153201,0.8459825229076722,
