gene_id	gene_name	group	n_variants	p_unified
ENSG00000005884	ITGA3	NAFE	226	0.7637010023208941
ENSG00000005961	ITGA2B	DEE	209	0.9703033121321473
ENSG00000005961	ITGA2B	EPI	296	0.8408472738788266
ENSG00000005961	ITGA2B	GGE	236	0.9453172277633985
ENSG00000005961	ITGA2B	NAFE	234	0.743452526138568
ENSG00000005981	ASB4	DEE	119	0.9213262002789875
ENSG00000005981	ASB4	EPI	148	0.895289880166335
ENSG00000005981	ASB4	GGE	125	0.031068950175204942
ENSG00000005981	ASB4	NAFE	131	0.9608510836936135
ENSG00000006007	GDE1	DEE	51	0.6018458653255209
ENSG00000006007	GDE1	EPI	73	0.4425965967884329
ENSG00000006007	GDE1	GGE	60	0.8050001433962979
ENSG00000006007	GDE1	NAFE	62	0.22670997745091917
ENSG00000006015	REX1BD	DEE	37	0.0046525415291697875
ENSG00000006015	REX1BD	EPI	53	0.13756897286587233
ENSG00000006015	REX1BD	GGE	36	0.05232440300977779
ENSG00000006015	REX1BD	NAFE	46	0.37728277572949226
ENSG00000006016	CRLF1	DEE	104	0.09074582652043423
ENSG00000006016	CRLF1	EPI	137	0.2463498677315698
ENSG00000006016	CRLF1	GGE	111	0.014431241400383404
ENSG00000006016	CRLF1	NAFE	114	0.5443266869849619
ENSG00000006025	OSBPL7	DEE	177	0.21251400098905293
ENSG00000006025	OSBPL7	EPI	224	0.6470384628858376
ENSG00000006025	OSBPL7	GGE	183	0.6690657594257894
ENSG00000006025	OSBPL7	NAFE	191	0.2328267696313225
ENSG00000006042	TMEM98	DEE	59	0.6929097469271976
ENSG00000006042	TMEM98	EPI	71	0.7972644835557183
ENSG00000006042	TMEM98	GGE	59	0.8645430992208168
ENSG00000006042	TMEM98	NAFE	63	0.8049790091607801
ENSG00000006047	YBX2	DEE	50	0.810789522832574
ENSG00000006047	YBX2	EPI	63	0.5527576255174256
ENSG00000006047	YBX2	GGE	54	0.9336834370251822
ENSG00000006047	YBX2	NAFE	56	0.7304683062310953
ENSG00000006059	KRT33A	DEE	156	0.615270599214572
ENSG00000006059	KRT33A	EPI	186	0.6702374857034672
ENSG00000006059	KRT33A	GGE	155	0.6318780649277176
ENSG00000006059	KRT33A	NAFE	169	0.9300369394315425
ENSG00000006062	MAP3K14	DEE	169	0.08852075579043485
ENSG00000006062	MAP3K14	EPI	214	0.6003880750257597
ENSG00000006062	MAP3K14	GGE	173	0.9298420083819401
ENSG00000006062	MAP3K14	NAFE	196	0.4584553239500436
ENSG00000006071	ABCC8	DEE	364	0.48635043970408376
ENSG00000006071	ABCC8	EPI	468	0.3728117584741439
ENSG00000006071	ABCC8	GGE	385	0.6865564141579925
ENSG00000006071	ABCC8	NAFE	397	0.3684979003054734
ENSG00000006116	CACNG3	DEE	24	0.959164537467055
ENSG00000006116	CACNG3	EPI	37	0.5149001484320336
ENSG00000006116	CACNG3	GGE	28	0.9414540234726259
ENSG00000006116	CACNG3	NAFE	28	0.7845647346629374
ENSG00000006118	TMEM132A	DEE	257	0.1579525016756791
ENSG00000006118	TMEM132A	EPI	333	0.19268544835729234
ENSG00000006118	TMEM132A	GGE	270	0.09388452284566191
ENSG00000006118	TMEM132A	NAFE	282	0.24766950718981245
ENSG00000006125	AP2B1	DEE	85	0.9071345637763856
ENSG00000006125	AP2B1	EPI	113	0.09957143020083943
ENSG00000006125	AP2B1	GGE	85	0.8242016332801869
ENSG00000006125	AP2B1	NAFE	93	0.5849882015989745
ENSG00000006128	TAC1	DEE	15	0.4369096511139075
ENSG00000006128	TAC1	EPI	26	0.3423857379851042
ENSG00000006128	TAC1	GGE	14	0.8174819515550853
ENSG00000006128	TAC1	NAFE	21	0.07809592703796325
ENSG00000006194	ZNF263	DEE	144	0.8530263878784092
ENSG00000006194	ZNF263	EPI	189	0.963862775605829
ENSG00000006194	ZNF263	GGE	152	0.55890684761132
ENSG00000006194	ZNF263	NAFE	164	0.5757421364601272
ENSG00000006210	CX3CL1	DEE	89	0.8654878663134878
ENSG00000006210	CX3CL1	EPI	120	0.4913839981159801
ENSG00000006210	CX3CL1	GGE	98	0.7683756966262929
ENSG00000006210	CX3CL1	NAFE	100	0.03131890933819874
