Gene Name,Group,G4E,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
SYNGAP1,DEE,True,154,0.08254342042091949,0.43661622996638083,0.7244988259009139,5.181931375944205e-18,0.6701447122975264,0.19149,5.9462e-08,2.0152600790001294e-10
DEPDC5,EPI,True,410,0.27278000590803614,0.2555567864566123,0.49665212684691784,9.45392154845527e-15,1.6527268677170735e-05,0.36857,3.4417e-15,2.2169318820490266e-10
PCDHA1,NAFE,False,519,8.514420881049452e-10,0.7006299292612208,0.008011542220790174,0.016609379257065335,0.02868402730735445,,0.083555,4.72492507747882e-10
KANSL1,DEE,True,271,0.30639197946912283,0.036473586981112756,0.027705536306645538,0.04139387710070652,0.9811483376180968,,0.0004455,1.538110205909401e-09
KCNQ2,DEE,True,149,0.011783730306530687,0.20288988410330855,5.83235615090096e-07,0.26300724994236135,0.025951705969038428,0.034392,0.27467,2.5058265760374114e-09
TBL1XR1,DEE,True,46,0.4151601627469489,0.011988642456519066,7.780185413226173e-09,,1.0371570358774893e-18,7.4407e-05,,2.86556469947801e-09
KCNB1,DEE,True,121,0.06646453242707193,0.2869205875100222,0.00020133882523825644,6.627161592615303e-09,0.8911078514626463,0.0013155,0.00046125,9.460246550781755e-09
SLC22A1,DEE,False,156,0.0004898685135231561,0.04169293105861044,0.00019588963359251258,4.784257830208134e-14,5.279391429076334e-06,,0.041768,1.930720544146019e-08
CD8B,DEE,False,82,7.361320197190568e-08,0.05817150789522925,0.5582450756743611,1.5436110777562342e-07,0.26688417489620303,,0.020825,2.8126566964742437e-08
RYR2,GGE,False,720,0.6855694779758221,0.023563556050266846,0.12718221671582391,2.0323577849841685e-15,0.3220272789193549,0.64525,8.6024e-06,5.174717867612759e-08
SATB1,DEE,True,84,0.12341638250122614,0.004808926202252724,0.21896957215607696,9.308613997173037e-14,0.0534881979710111,0.42869,0.044607,5.2802930370943545e-08
PCDHA1,GGE,False,492,0.1974849645737621,9.582168634204323e-07,2.365117122488286e-05,4.44271803022475e-05,0.19594305365889697,,0.5267,6.700063597891498e-08
PCDHGA10,EPI,False,369,5.893887246803525e-07,0.021159327394391796,0.006160745968821395,0.33343230377699373,0.01989782000410143,,0.70519,7.526012091478662e-08
CACNA1A,DEE,True,278,0.1744599174995311,0.7728461532098231,1.5518881137039174e-07,0.0005269149459787812,0.39748215912407003,0.013135,0.36739,7.864226128032303e-08
GABRB3,DEE,True,38,0.44727715389102507,0.019747593452585175,6.086297899177984e-07,,4.06545322672933e-18,0.0096158,,7.889575415706737e-08
SLC6A1,GGE,True,81,0.8641880760655408,0.023887946382578636,7.006721467381612e-08,,4.430143625117825e-11,3.0095e-06,,1.5613353039591305e-07
SLC25A11,DEE,False,52,8.962450709614249e-07,0.8291787162633939,0.00041586383654682794,,6.44482510045231e-21,0.16316,,2.3544739212744052e-07
DYRK1A,DEE,True,95,0.9558525731019116,0.8935462974415773,0.5870056997912185,2.0056023344715234e-13,0.1506494724838008,0.71647,0.00034887,2.516458207027379e-07
ANKRD11,DEE,True,650,0.6711243033172991,0.7618943571837864,0.08424540457394286,1.84493754412836e-17,0.6469071997059433,0.1469,1.1956e-06,2.862280086078086e-07
STIM2,GGE,False,231,1.9202988883130503e-08,0.15804669638733845,0.20190466914373553,0.5072868385074627,0.10499621486718091,,0.99203,3.193480387974015e-07
NPRL3,NAFE,True,164,0.8546648289803666,0.8253310740064257,0.011995824389228651,2.744992207509418e-10,0.0002717426142758627,,1.3519e-06,3.21322629398678e-07
CCT7,DEE,False,92,4.355742228046626e-09,0.7945361059863444,0.6930920220913106,0.04872424372959239,0.0032499788669956182,,0.51281,3.4363605917202214e-07
MRPS22,DEE,False,93,1.3331204657102719e-06,0.01281147182654181,0.9911669574070741,2.338351721388365e-11,1.5691902681779137e-10,,0.051776,3.9723341841816347e-07
CASKIN2,DEE,False,270,0.29834745762994896,0.00013946040636129766,0.08517472177272768,4.3695894685127805e-10,0.00778137295266321,,0.0029559,4.00340224544841e-07
TTN,DEE,False,7773,3.558452217923039e-08,0.10945448076885349,0.21432888757904353,0.8581557173218228,0.9640142061067098,,0.46463,4.0095708646192204e-07
TEAD1,GGE,False,127,0.0008242063064983621,0.6161487096995628,0.0008141922834643927,,7.865982570335026e-10,,,4.021681056391415e-07
PCDHAC2,GGE,False,224,0.5477133328681181,0.027276276469323894,9.676574720594922e-07,0.17250059962267067,0.024326749966978912,0.67844,0.75687,4.288160583780464e-07
PCDHA1,DEE,False,464,0.23810781712601536,0.007666101483229496,0.5210723344648613,4.88193905992879e-25,1.1377236365461127e-07,,0.066126,5.31459622581635e-07
CACNA1A,GGE,True,289,0.00020182954711920752,0.8143350575017071,0.05875912937254746,4.1036414261662366e-05,0.1840050610806807,0.14778,0.0078137,5.822357921228879e-07
KBTBD8,DEE,False,120,7.848733725274305e-08,0.9277373359066696,0.06478117947520587,0.000818041779475256,1.0213093387489861e-13,,0.70654,1.1587272980707854e-06
PCDHA10,DEE,False,369,0.9477554464718664,0.010550223270560617,5.26100132890002e-05,0.05724886640749932,1.181753411852133e-17,,0.32648,1.16955216317437e-06
NBEA,DEE,True,619,0.0018881038160885768,0.9928884639997388,0.40833797028634855,3.658681785474253e-14,0.4222614591870495,0.95052,0.0001639,1.4661373622579178e-06
SCN8A,NAFE,True,389,0.00017634603999466477,0.612054906282208,0.004144476494904159,0.8147781514467439,0.08911151392543475,0.19048,0.99686,1.5590061984635952e-06
YLPM1,DEE,False,439,1.0191902932257406e-06,0.04996784090514694,0.628527530761314,1.0752962310001525e-09,3.0349796589151356e-12,0.56507,0.058091,1.6718734716623866e-06
EGF,DEE,False,268,8.708717700646215e-07,0.8812966303774346,0.003780887962831279,2.0199330462416393e-11,2.011792914565538e-29,,0.83303,1.6771803947267742e-06
CTH,DEE,False,58,0.6546872872043059,0.0009575635769297757,0.0014391687872549316,1.845703802494521e-12,0.1794653685305545,,0.099042,1.7970776709027163e-06
LMO7,DEE,False,358,4.6904270769243837e-07,0.056616675123931336,4.795545799225071e-71,2.1605932928000167e-22,5.93305160332748e-118,,0.72247,1.8750142417787248e-06
APOC3,DEE,False,32,5.352434306064533e-08,0.9452524782792385,0.11069610217839157,0.006763562126980896,0.00298937593089745,,0.29426,2.4786388964903435e-06
SETD1B,GGE,True,354,0.068797743131595,0.7093316126135769,0.04590087027233865,2.1212888092170054e-07,0.03313039219669992,0.27494,6.1394e-06,2.696970706352213e-06
ATP2B2,DEE,True,191,0.0004686050245832271,0.639534518087439,0.7599384474772375,5.92922993628192e-08,0.37013906655308815,0.20276,0.0062183,2.7429005416175224e-06
CLK4,DEE,False,84,0.0001278429910562862,0.2579051563580554,0.0156303760733693,0.002543084737243007,1.8258957102177394e-09,0.082112,0.79815,3.000127971117375e-06
ATAD2,NAFE,False,228,0.19643735921025257,0.7958785421566554,2.523526647096998e-07,0.0160703778205286,0.8224461574251021,,0.47713,3.1703199754510477e-06
CACNA1A,EPI,True,384,0.1230649075154434,0.18266484845460382,0.0002990337181676602,0.004188810663047788,0.019361705628382332,0.2174,0.013972,3.2958664616282256e-06
SCAPER,NAFE,False,253,0.3512306421997776,0.006129522439498857,8.303075252495204e-07,0.05899579898649388,0.22043354028527035,0.77846,0.59792,3.559750396930668e-06
HSD17B13,DEE,False,71,0.04875097676759949,0.00012314974481377784,0.0012298676547423807,3.755095209637994e-08,0.2281731724134232,,0.057636,3.669327158101225e-06
KCNIP3,DEE,False,91,0.7074633495866267,0.048106108194937006,1.4353842549804285e-06,0.010132613281883567,0.01937806247983164,,0.99991,3.69324875996329e-06
CHD2,DEE,True,221,0.11687815976614606,0.14212381013261027,0.011262572444682149,8.948789435895159e-10,0.5551861946984944,0.0002485,0.0034867,3.7224482232042335e-06
RRAGA,DEE,False,25,5.17928888306534e-07,0.2762481395954487,0.36621478579485234,0.0347959681173293,8.352394509038716e-09,0.60221,0.42254,4.285071313939648e-06
OR2A2,DEE,False,84,2.94764049921101e-06,0.00419586696034597,0.04404939227177011,0.08953687618162033,2.608632124075483e-07,,,4.3443496089962425e-06
SLC2A1,GGE,True,89,0.11285670751737707,0.005706180320756507,0.00036403512681216756,0.8920417689676889,0.15370326439344523,5.6406e-05,0.57465,4.661720156639169e-06
PSMA7,GGE,False,29,4.738042198152078e-07,0.9452178798688091,0.09249913237353641,,0.005189122302530071,0.48492,,4.785273354317576e-06
CACNA1B,GGE,True,370,0.11427329245859308,0.961586902207815,0.02135568325881689,7.802056906593214e-08,0.05499748740866701,0.021398,0.00024803,5.117503179586877e-06
DLG4,DEE,True,76,0.6444245566060884,0.0029036142598297824,0.4278880641548891,5.606333321158675e-12,0.9516399165518322,0.62404,0.00011553,5.281276454535377e-06
CHD2,GGE,True,231,0.5487135456451949,0.6700185854943029,0.005527189845292108,2.048540270056899e-09,0.011487398025318979,0.97159,0.00044474,5.645444998689054e-06
LEFTY2,DEE,False,89,3.433723901568998e-05,0.1637728314320993,0.9705125867642991,9.276867511436603e-10,0.015153310533215187,0.68245,0.048647,5.815418992670492e-06
SIGLEC6,DEE,False,96,1.1141590748820434e-06,0.04775770847679654,0.24546237539749272,0.00010833811828489153,4.03311400134698e-10,,0.65314,6.501542690774684e-06
RGPD1,DEE,False,57,0.0008519033521060921,0.0008381862369612091,0.0008374311082498287,0.16534972236831788,3.647396658600953e-11,,0.87662,6.824196991184177e-06
SLC39A2,DEE,False,68,2.656519311221992e-06,0.010639371973775333,0.8557111898677875,7.851184119754877e-06,3.791532116257337e-06,,0.94087,6.983770106574236e-06
TANC2,DEE,True,359,1.1267558971411676e-05,0.4828538042632301,0.6528983011397631,5.082957282460803e-05,0.06902975271863121,,0.069013,7.041028255446924e-06
SCN8A,EPI,True,481,0.003527042982675121,0.7855466829363342,0.0006724872039466018,0.6335150041851716,0.7480525117749126,0.029832,0.89643,8.243203486984013e-06
GNA12,DEE,False,57,1.3793063683386547e-06,0.055987404565013846,0.5208109009002959,0.04076170326257794,0.00025439625715903386,,0.28939,8.304371321436371e-06
SP4,EPI,False,285,0.741683412347782,0.08209345303026575,0.9465097272452152,0.9365268878690728,0.02563013507816979,0.61669,0.12304,8.48760210219739e-06
TAS2R20,DEE,False,69,7.340737545692787e-07,0.41888656974865257,0.4153380670352539,3.37086803069094e-06,1.991850109434323e-06,,,8.793757736942387e-06
SYNE1,DEE,True,1981,0.04250429585281666,0.42123776366208676,0.005392694551945296,3.3690019817710214e-38,2.543171876501037e-46,,0.0008712,9.025632047468609e-06
SCN8A,DEE,True,317,0.10465968801008885,0.7050261915729207,3.1653907563614833e-06,0.0306165525364344,0.0008977098304918805,0.00025676,0.35321,9.822942990221292e-06
ANKRD11,GGE,True,682,0.5531396696724371,0.5034065641579369,1.109126345405488e-05,0.00012569289747856507,0.4672269538311622,0.34534,0.013123,1.0316406054031672e-05
KDELR2,DEE,False,45,8.522467159868074e-05,0.7479444165462307,0.0019378870860476552,0.15254485727884337,4.1763228603697e-05,,0.602,1.0345258265940372e-05
LMO7,GGE,False,373,2.452219971677895e-06,0.04928246043608395,1.1152595431660969e-17,3.7796498217960115e-05,2.331695653848186e-34,,0.89335,1.0349021866084574e-05
HMCN1,DEE,False,1215,3.1590549553726756e-06,0.7923121573539155,0.4967568059152454,2.3019979011104684e-28,2.4646153402027593e-49,,0.12575,1.1931053718201506e-05
HSPA14,DEE,False,61,0.0007711009138878356,0.00016240705705182246,0.1698928287538908,0.011651685797640034,8.951677647216102e-05,,0.71692,1.2219216341301455e-05
NPSR1,DEE,False,77,0.8415056179841363,0.41278739252955454,0.6733009916152131,3.467188655687296e-12,0.7315471984346487,,0.048701,1.230689359802262e-05
ZNF302,DEE,False,107,0.39655962568467407,2.7095817595554553e-06,1.1270454644270598e-32,9.594291755461339e-12,9.03504528037502e-43,,0.003065,1.2501848419992985e-05
SCN1A,GGE,True,274,0.01856199794394307,0.8654845312325168,0.0029143745097726646,4.7621567744931455e-05,0.34221733661656617,0.099042,0.0024069,1.2665039735842205e-05
PHF20,GGE,False,176,0.0023257953025598186,0.12355013127806147,0.4329293578295521,5.411263244534798e-06,0.007539703153984019,,0.004873,1.3175992009666107e-05
HTR1B,DEE,False,69,0.005963632769455512,0.6147243202167737,0.024430507454131913,2.576403467315597e-08,0.1797072734441568,0.4865,0.018662,1.4994598991796343e-05
LGI1,NAFE,True,98,0.311850113327459,0.2556291637058994,0.002633450667225328,9.269645906953931e-06,0.004252647222241396,0.0078808,1.3712e-05,1.506918803906326e-05
HNMT,DEE,False,29,5.404174722129437e-07,0.5867559985556393,0.44809173695134175,0.008856174099087982,0.000553685182257966,,0.99784,1.5497791843436914e-05
KIF26B,DEE,False,481,0.006921636828463215,0.20384931883746013,0.7384550742911425,4.3607610091821463e-14,0.06429286277241324,,0.00017721,1.6066259973865567e-05
SCN5A,GGE,False,425,0.18341065147586189,0.0466240795162607,3.948074552108043e-05,5.324319206839722e-05,0.6388063555019978,,0.4647,1.7277542050725537e-05
ZNF462,GGE,False,465,0.09324874584817941,0.12271541977246855,0.15539954502761633,8.767524773588297e-08,0.05703985984577359,0.48717,0.0025362,1.8863255540120228e-05
C1orf52,GGE,False,60,0.4131805347323446,0.5827282178194848,0.45183352243385044,1.7840079537429896e-08,0.013582987334380263,,0.12291,1.8879362220756885e-05
PCDHGA8,DEE,False,236,3.6601067951407976e-07,0.9696072248075444,0.19956093448563378,4.953687031165364e-08,3.514135525964064e-19,,0.30471,1.9624570760298565e-05
IL22,DEE,False,34,0.7074396854665366,0.04157847739156602,1.88592060706214e-06,,0.5292649963605673,,,2.1598426665162577e-05
PRND,DEE,False,44,0.37057699623347407,0.8683172345745376,0.801304910404171,1.1221680309410683e-09,0.18869323256932588,,0.20688,2.1714554228558645e-05
RBBP9,DEE,False,51,3.378020508248142e-06,0.8292001831192284,0.25409061842806463,0.3192377988665031,1.8769108562260773e-05,,0.60928,2.1849161053764502e-05
APC,DEE,False,621,9.300536350207825e-07,0.23723076413922353,0.40148191527386157,3.891817471689694e-06,3.1455685579238424e-12,,0.90282,2.374029937705205e-05
IKZF2,DEE,False,115,0.01089051834381101,0.6555138551980029,0.35940993974893864,3.085371117180807e-08,0.30454189814194127,0.14551,0.021741,2.41318708768041e-05
SLC5A1,DEE,False,104,4.142605590801295e-06,0.10293201382254778,0.37571994876003645,0.017592634297169042,3.751711966908299e-10,,0.98812,2.4611164818127633e-05
NPRL2,NAFE,True,80,0.9549788327360118,0.17118415757586988,0.024863967372725254,9.187885351710604e-08,0.0056425557146993635,,3.6181e-05,2.523092019258218e-05
PCDHAC1,GGE,False,252,0.0005494340121554416,0.07755015217924449,0.04911146075520005,0.0015900418830492042,0.0005810736515604028,,0.25528,2.5323647682510195e-05
RNGTT,DEE,False,64,9.194661777223481e-07,0.6563844046112266,0.5068639111620201,0.01670958479708758,1.6873681409932988e-07,0.61513,0.67194,2.557382954231899e-05
GPR20,DEE,False,124,1.3717898041697527e-05,0.007387765357501875,0.7100536729800431,,8.602651755298765e-53,,,2.5675960599545292e-05
ARV1,DEE,True,53,0.00014954974225545435,0.4076376970710861,0.8092624006888076,4.7040595947913265e-07,0.6311457799156495,,0.10286,2.679786748987506e-05
TRAPPC5,DEE,False,38,0.0002809289139133407,0.19967727793264378,0.9662609507434188,3.76370178248275e-06,0.21352653507876174,0.94003,0.010536,3.277365769352541e-05
APLF,DEE,False,131,0.5128437422283039,0.003331806743912874,1.6349393515826754e-06,1.501370259424664e-07,9.276119781422062e-14,,0.68043,3.314185387615241e-05
AZGP1,DEE,False,88,4.2722294367053365e-05,0.16599701660890379,0.17502193500254845,2.118666624467216e-08,0.00134491862320073,,0.13872,3.365990686405915e-05
CHD1,DEE,True,145,4.2867579226084023e-07,0.9224689666485362,0.6480849428946303,0.0596975449629312,0.0037741005876213963,0.41593,0.17536,3.380107255474563e-05
OBSCN,DEE,False,2744,0.006948626058168385,0.005053859989759058,0.13322244959772822,5.089985606988295e-77,6.172097212739623e-146,0.30339,0.33918,3.4148647978207196e-05
OSTF1,GGE,False,31,0.8186213144223456,0.046917671637057484,0.15666625602566148,7.119374489327902e-07,0.01596377648436255,,0.14793,3.427724399821011e-05
GRIK2,DEE,True,73,0.02353380965480946,0.40297801669242217,0.020869424705300326,0.0014512009849803125,0.5860730402731728,0.36883,0.11563,3.544659523800687e-05
IST1,DEE,False,98,0.8336056004151258,0.9257110975792773,2.6851061444728155e-24,1.7263554652432793e-15,4.790871174570155e-19,,0.1742,3.748486796520577e-05
HLA-DOB,DEE,False,32,0.5606866770599523,0.5662785523860752,1.0853879185923621e-06,0.0002707854768028293,1.511435350935593e-07,,0.56259,3.833628711821317e-05
PYCARD,DEE,False,55,0.17809962515311198,0.8534303187266444,1.9229500189347408e-05,0.0013887818843237923,2.9753288655547606e-10,0.15659,0.6878,3.943455687490271e-05
LY6D,DEE,False,27,0.47340983413266957,0.6748018148185441,5.850615505921351e-06,0.4743400541468259,0.00011351270056174892,,,3.9691101360985154e-05
RIOK3,DEE,False,114,0.00014346178965662378,0.045789382136977655,0.10767555191990259,5.62459780467213e-09,0.008542902259905909,,0.0037707,4.1254352352529866e-05
IFIT2,DEE,False,114,0.24247079132828578,0.698470108597145,1.3768875097007374e-06,0.00016095958119123263,2.882042712796265e-06,,,4.2170148437358174e-05
ALDH1L2,DEE,False,199,8.99401925475073e-07,0.11462115711577679,0.5458874854333047,0.8796892818075973,0.9662776807558797,,0.6602,4.369165317680045e-05
TTC39B,GGE,False,165,1.525631139747302e-05,0.8138442220414662,0.006921534408788458,0.08023184757321768,0.0010390571049833076,,0.46298,4.371286775428737e-05
EVPL,DEE,False,590,0.017825522716063906,0.0004542160982567292,0.06787843627572523,3.1879306250090614e-16,2.1814188873157914e-33,,0.95597,4.4231293088866115e-05
BIRC6,GGE,False,805,4.27932005730631e-05,0.8750574484194608,0.8751513601130252,0.00024187957743140967,0.7689701397493025,0.93037,0.0019593,4.5073367557831726e-05
ENAH,NAFE,False,115,0.030813114000512343,0.5963583213121206,0.3251132982854118,0.10602434062660332,0.9481844781806272,,0.013675,4.778485890793751e-05
PRR11,DEE,False,69,1.9500732086778406e-06,0.42775262089345456,0.6721632605262529,0.025649577916784655,4.703928964206201e-06,,0.11964,5.32533797015158e-05
RELN,EPI,True,1677,0.04935065446356675,0.7510563183935697,2.7701789533049207e-05,0.08582211876586934,0.4815180214809539,0.55611,0.094681,5.42067220261234e-05
GNAO1,DEE,True,56,0.530207744428609,0.061495695639160075,0.001209931314669573,0.098900080310962,0.02374257660106862,0.0028978,0.19346,5.433365695516588e-05
PAK5,GGE,False,166,0.13249179278720882,0.9609061588941816,0.15630165296884907,3.930020539677829e-11,0.33993267014963824,,0.26857,5.618923609208758e-05
ST3GAL2,DEE,False,56,1.3970038105469272e-05,0.1074230645477791,0.5232522468871708,,6.068926453353822e-26,0.92532,,5.756900092233481e-05
SNTB1,DEE,False,135,6.107689074527537e-06,0.33176197960913456,0.07740719634043554,1.7200132954262743e-05,0.0002450174610154016,,0.072271,6.184554574304537e-05
SLC6A1,EPI,True,104,0.9815884525743908,0.16957586850596354,6.652209577103503e-06,0.06270613882335567,0.2676450310375631,9.4924e-05,0.15922,6.295088815871369e-05
PLPPR5,DEE,False,52,0.27804228231534417,0.624104958832351,7.464136528351254e-05,1.1793965852590383e-05,0.7745106153230856,0.0064916,0.0028938,6.340668261562232e-05
RELN,NAFE,True,1418,0.05053700295345913,0.1850164456321899,8.363634933482352e-05,0.18213784745538597,0.2763371509867059,0.42377,0.17468,6.691929791014249e-05
LONP1,DEE,False,260,0.020607356067298178,0.9487352129429634,0.004299926880547631,3.173664492636103e-08,0.5659502847926998,,0.0043325,6.900846657352831e-05
KMT5A,DEE,False,48,0.00011567053557535267,0.04376415990798255,7.808314679963585e-10,0.0005776713661226752,5.68696179391145e-21,0.23143,0.2904,7.05849835383105e-05
MED15,DEE,False,128,1.9586398452102596e-06,0.609243674649902,0.3958457458803665,0.06633582269822041,0.0035531982748744175,,0.3508,7.472269982651685e-05
CCR1,GGE,False,64,0.7149816893292102,0.0030460803609463167,0.7725241822186973,2.576080358864378e-05,0.18347352932527744,,,7.690128882229102e-05
BST2,DEE,False,33,0.8074387157524521,0.1455221488947379,0.00017027950393627998,6.586289516743072e-07,0.5024516580975009,,0.0056703,7.718743881580718e-05
SCN2A,EPI,True,544,0.8113185397061387,0.9173507287497626,2.606048089437373e-06,0.13567888811008025,0.24638799167909528,0.18774,0.34921,7.75493626903457e-05
INO80D,DEE,False,188,0.10209820236809397,0.6725963157944657,0.003910884247752296,1.2042995519061024e-05,0.5307257683255323,0.47954,0.3498,8.096125396176739e-05
TOPBP1,NAFE,False,289,0.004560821032915741,0.08071917047570461,0.9050264650216402,9.20212026658888e-05,0.004722583105313571,,0.1206,8.291440427688516e-05
TP53INP2,DEE,False,48,4.133727544487792e-05,0.014271105118235365,0.49650306324164284,0.47196754418380427,1.0017235508753091e-07,,0.68089,8.816160080570488e-05
BTAF1,NAFE,False,544,0.23742618785363287,0.11502631006119672,0.3374213852543241,6.507641488013778e-06,0.006995587280088141,0.20743,0.16331,8.959938094374993e-05
GOT2,DEE,True,84,0.4906110794159332,0.9247987511836863,0.026395152169104725,1.8924184608053636e-08,0.07161420049139544,,0.053325,9.036485834573867e-05
PRPF40B,DEE,False,219,0.2443065815138741,0.13880863795300635,0.312686928769269,8.427681069351259e-14,0.08588339352360641,,0.057534,9.41731548810708e-05
TSC1,NAFE,True,245,0.15507066523605853,0.29653418011909677,0.01893016536133487,1.6481472051975378e-06,0.0443135114291197,,0.0011139,9.750676429930597e-05
TMEM218,DEE,False,27,0.004608769531985034,0.00015440553631471221,0.7456602645500435,7.274294346016597e-05,0.4130753028729378,,0.21837,9.90525687220434e-05
