gene_id	gene_name	group	n_variants	p_constraint	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified
ENSG00000001561	ENPP4	EAS (exomes)	8	0.46039719851541233	0.36809865414409243	0.8109792325063355		0.2027155578320748	0.5331998972763935
ENSG00000001561	ENPP4	EST (genomes)	1						nan
ENSG00000001561	ENPP4	EUR (exomes)	45	0.12134820683494589	0.8898314415034145	0.5509280430088735	0.9880954172991503	0.8368120545938973	0.5622897736164867
ENSG00000001561	ENPP4	EUR-N (exomes)	17	0.952834859776943	0.7868073487397766	0.519173440573754	0.9579994220286232	0.4158048870882498	0.9365182109376776
ENSG00000001561	ENPP4	FIN (exomes)	5						
ENSG00000001561	ENPP4	FIN (genomes)	1						nan
ENSG00000001561	ENPP4	meta	131	0.10544456650851941	0.5337304163966525	0.5128041136045068	0.49352960384814293	0.050980604016169474	0.5053152308068362
ENSG00000001617	SEMA3F	AFR (exomes)	8	0.7467495780466062	0.43196321927881987	0.8818426183753444		0.28308755953335446	0.760129216506113
ENSG00000001617	SEMA3F	AFR (genomes)	22	0.013442047014946681	0.491481661246036	0.7562230770492603	0.37493133673379764	0.8057318842215986	0.1180939716118723
ENSG00000001617	SEMA3F	AMR (exomes)	27	0.29810647887932734	0.817656435999746	0.6828114199727768		0.5608455866587526	0.7504602439072199
ENSG00000001617	SEMA3F	ASJ (exomes)	3						
ENSG00000001617	SEMA3F	EAS (exomes)	19	0.7519482876139201	0.9634605733562556	0.3290057791623814		0.7447829532444386	0.7842394840646183
ENSG00000001617	SEMA3F	EST (genomes)	2						
ENSG00000001617	SEMA3F	EUR (exomes)	74	0.31713572194969847	0.9424550831131411	0.7729536272535013	0.09695933558579777	0.31049908812446153	0.44733681732432806
ENSG00000001617	SEMA3F	EUR-N (exomes)	49	0.17093505588119778	0.1482189380994251	0.3939033953653046	0.9808420501505262	0.782879636210371	0.3795809008268846
ENSG00000001617	SEMA3F	FIN (exomes)	9	0.4867899624875186	0.0898562316944682	0.42247800667962193		0.6092357308595495	0.3219561533230749
ENSG00000001617	SEMA3F	FIN (genomes)	2						
ENSG00000001617	SEMA3F	Finnish_genomes_FIN	1						nan
ENSG00000001617	SEMA3F	SAS (exomes)	2						
ENSG00000001617	SEMA3F	meta	280	0.1282187862982181	0.8322301771224108	0.9901086053785114	0.027067871860065547	0.9730369991330945	0.30369201363008286
ENSG00000001626	CFTR	AFR (exomes)	12	0.3704593132321289	0.3372583169912083	0.7679815381672468	0.0823525874850498	0.28763909845540897	0.49771201976035706
ENSG00000001626	CFTR	AFR (genomes)	39	0.45360759889894453	0.9185838969018155	0.22142129485112858	0.9127805450897358	0.23471819843167716	0.6801301835922953
ENSG00000001626	CFTR	AMR (exomes)	52	0.9226661758391514	0.8873285102538369	0.2557384475356514	0.38484540769327347	0.954146420102241	0.8203455258420608
