Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,SCHEMA p-value
ENSG00000006059,KRT33A,meta,203,0.5865569417277867,0.3994009063951068,0.7479129255305148,0.682302889390208,0.8572679758931673,0.9038384889856074,0.676
ENSG00000006071,ABCC8,meta,542,0.7827894012401416,0.0036817177531603,0.8310179555777103,0.7116275307412996,0.7137937026698102,0.0995957276163246,0.759
ENSG00000006116,CACNG3,meta,72,0.3286368659258877,0.2605809754620171,0.0123068438674195,,0.0891991303449134,0.0305329875558418,
ENSG00000006118,TMEM132A,meta,394,0.0973736184965408,0.6638287223081434,0.0869433434665118,0.152612132452387,0.0001549962805301,0.1544845627239151,0.385
ENSG00000006125,AP2B1,meta,160,0.7484588133117862,0.5236277266277624,0.7646136717301297,0.7892598054715522,0.0264817096383352,0.8409286531182467,1.0
ENSG00000006128,TAC1,meta,30,0.0953553212939966,0.5516716895031855,0.2940103936058781,0.9568628799900064,0.1257444119111347,0.2428291129079337,1.0
ENSG00000006194,ZNF263,meta,291,0.6726469208359256,0.4241592943077806,0.1960870385172287,0.0004449865142649,0.3913101845223239,0.1326478468220912,0.0463
ENSG00000006210,CX3CL1,meta,148,0.3526688581735412,0.748254875021994,0.3053462807346636,0.785120250918776,0.0625067611249719,0.5487477445600926,0.982
ENSG00000006282,SPATA20,meta,360,0.031783696959015,0.4841070204307877,0.6502646792409581,0.0018581285418478,0.0018037042396086,0.2209168227592873,0.58
ENSG00000006283,CACNA1G,meta,617,0.1750239796629559,0.6688495057947885,0.0061884197860158,0.0114397827369484,0.4400436396649048,0.005066374858591,4.57e-07
ENSG00000006327,TNFRSF12A,meta,22,0.5304854981298119,0.7295622078823063,0.8782341791018116,,0.1665921047304145,0.844220234672602,0.0832
ENSG00000006377,DLX6,meta,22,0.4531081803361503,0.403739851244613,0.0421319686092693,,0.0421319686092693,0.4805361943480795,
ENSG00000006432,MAP3K9,meta,421,0.8923348139433254,0.352735097299781,0.2316436574343393,0.0407894911092989,0.0029537115299266,0.6634435598477939,0.852
ENSG00000006451,RALA,meta,26,0.7833710359270274,0.4630547469105621,0.2439028391193473,0.0301947265520046,0.1910349409350834,0.249272567265937,0.116
ENSG00000006453,BAIAP2L1,meta,183,0.8162898231232965,0.746550043809757,0.4764206683227762,0.5651023591837379,0.003857529415612,0.9056400198947548,1.0
