Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value,G4E,Epi25 min p-value
ENSG00000004478,FKBP4,DEE,88,0.9876109589922961,0.8704502350025795,0.1772071939864655,0.07311194603277488,3.6894139546394625e-05,0.7327567379685589,,0.54235,False,0.54235
ENSG00000004487,KDM1A,DEE,54,0.7366180496858319,0.6416942673803896,0.6414774362235103,0.0003030592897011555,3.6747487899101356e-06,0.9301737096410834,0.50937,0.54411,False,0.50937
ENSG00000004534,RBM6,DEE,191,0.81686689547788,0.9074941782261521,0.6570430889954377,0.008652594898589747,1.6906113836979391e-06,0.9911434743182636,0.95293,0.68453,False,0.68453
ENSG00000004660,CAMKK1,DEE,139,0.8598371051364434,0.5933394484544985,0.34019702596198054,3.11650295671795e-05,0.0451802856863944,0.20493648294789807,,0.80628,False,0.80628
ENSG00000004700,RECQL,DEE,145,0.2571257315019434,0.008769153183737529,0.7227907367023043,0.0001582878119430686,3.1511072533425296e-16,0.06296005784021393,,0.80642,False,0.80642
ENSG00000004766,VPS50,DEE,60,0.3102423539545607,0.32923823809731256,0.005612207257409338,0.05600101475861919,0.0017160252684882535,0.06085758479524759,,0.83009,False,0.83009
ENSG00000004777,ARHGAP33,DEE,238,0.0024548325318291,0.10801254559597931,1.7546225914650297e-28,4.886338410951775e-08,3.341454983764558e-76,0.011235826934081193,,0.7697,False,0.7697
ENSG00000004779,NDUFAB1,DEE,33,0.3968889269529249,0.6721414213476107,0.9944993990667383,,2.887668725678712e-12,0.8516249030547615,,,False,
ENSG00000004799,PDK4,DEE,64,0.9876730625755705,0.3117011335485434,0.4964251953607257,0.007541029290845053,3.9131605022467847e-10,0.5406572078220426,,0.88064,False,0.88064
ENSG00000004809,SLC22A16,DEE,166,0.8843675175746155,0.09243504128785764,0.24538191192877665,5.261502996286271e-10,1.6506518169448936e-13,0.2936748149041804,,0.067877,False,0.067877
ENSG00000004838,ZMYND10,DEE,110,0.8060526926948053,0.16155230121122688,0.8240994566340609,5.638866638361855e-09,0.00013099232415707753,0.11265685488646111,,0.068191,False,0.068191
ENSG00000004846,ABCB5,DEE,393,0.6731162472060068,0.03414107687381319,0.34470711711232893,2.3934613401370424e-11,3.0522371117808643e-29,0.19451659234851548,,0.25504,False,0.25504
ENSG00000004864,SLC25A13,DEE,159,0.9635254874724493,0.49511752672243436,0.44248028304801634,1.1369759271702062e-08,1.3157657027340062e-14,0.8953596104325969,,0.72646,False,0.72646
ENSG00000004866,ST7,DEE,45,0.07239939965489568,0.749462309256228,0.20459478548511362,0.006790468664359994,0.01668448756798923,0.18430122406439087,0.17663,0.1045,False,0.1045
ENSG00000004897,CDC27,DEE,42,0.0003120435555485444,0.14219411805337864,0.42644558749918227,0.06944777690054853,0.004392981899774189,0.00786028101681619,0.98566,0.41233,False,0.41233
ENSG00000004939,SLC4A1,DEE,216,0.8797963793458009,0.9871110412431838,0.6547230008795526,,2.935028566306848e-76,0.9746920155846834,,,False,
ENSG00000004948,CALCR,DEE,106,0.4523962930092077,0.6359737338849797,0.09755335230859483,0.003375092319134809,5.016696722485148e-11,0.454827791487426,,0.92064,False,0.92064
ENSG00000004975,DVL2,DEE,185,0.9137077017002511,0.6074141146883373,0.28291703518234196,5.9163677041730204e-05,3.338288286253331e-08,0.7657745107162234,,0.19383,False,0.19383
ENSG00000005001,PRSS22,DEE,74,0.8031222994626296,0.03477004023040637,0.49034905311295085,0.10896796959454946,5.599992263125724e-06,0.28728910022527704,,0.58621,False,0.58621
ENSG00000005007,UPF1,DEE,87,0.06749595162168684,0.5006698772129092,0.3526346034469343,,6.709794181869522e-32,0.22835247397675204,0.59861,,False,0.59861
