Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value
ENSG00000005381,MPO,DEE,218,0.2569930132011723,0.3911204021880139,0.019917759865601,2.99423531623708e-06,4.4566160883353135e-14,0.081638215131661,,0.34446
ENSG00000005421,PON1,DEE,84,0.8515648039115893,0.5901893182141789,0.2125183715916533,5.28361186298079e-06,1.1883110308767757e-10,0.7520346651147044,,0.94269
ENSG00000005436,GCFC2,DEE,32,0.8772300664963741,0.5494758828616786,0.7469189046279492,0.6770871134313339,0.1093601435493069,0.9809169952870864,,0.76256
ENSG00000005448,WDR54,DEE,85,0.9357022210985536,0.4983150106586554,0.7234792254447064,0.0002104470097749,1.719055132244959e-07,0.9671210117508384,,0.35294
ENSG00000005469,CROT,DEE,112,0.8019117788569308,0.1262343280168006,0.902426336538712,6.964404390699422e-05,9.041213512621244e-07,0.6448297664932132,,0.81818
ENSG00000005471,ABCB4,DEE,225,0.99316182240292,0.5108523912101914,0.8530406285619908,2.393584949239522e-12,4.3827547068396724e-08,0.1022081709575993,,0.0077031
ENSG00000005483,KMT2E,DEE,355,0.2049616317819728,0.0862066092938271,0.6178492732584802,2.3527160742016053e-06,5.739679012368741e-10,0.2159705145261916,,0.24705
ENSG00000005486,RHBDD2,DEE,78,0.7907663213087911,0.2389935777193932,0.7715302708838125,0.0029526967020827,5.5387008210701904e-05,0.794244047739374,,0.34729
ENSG00000005513,SOX8,DEE,110,0.8286683666524973,0.342360996870637,0.901083697233644,0.2358787899428616,0.0387066661858816,0.9037002730878274,,
ENSG00000005700,IBTK,DEE,143,0.4751709169552525,0.1886064850907042,0.7251674200241514,4.9669121874639377e-05,2.1192612381478142e-11,0.6619401322064042,0.51877,0.8784
ENSG00000005801,ZNF195,DEE,105,0.9999481338846296,0.6318141294508373,0.4417612101857032,0.4498547653965806,0.3114455844291161,0.8180675365412948,,0.97561
ENSG00000005812,FBXL3,DEE,35,0.5839965474804978,0.457427872530901,0.1461506536971236,0.2269386257653727,0.0768521428606172,0.6808864845404667,0.049962,0.3059
ENSG00000005844,ITGAL,DEE,224,0.5083067500425876,0.4652495410181556,0.7271920254501052,2.3423921296821272e-05,0.000163441516946,0.514536196916882,0.85375,0.1067
ENSG00000005882,PDK2,DEE,60,0.625131053153801,0.2233319213790059,0.0060292763908574,0.0012131763978313,4.739141946935432e-05,0.0628795395580545,,0.53959
ENSG00000005884,ITGA3,DEE,208,0.2967281932049083,0.5159900325229563,0.7795288752835305,8.258109866314081e-05,6.226250876949807e-12,0.7585252061217435,,0.75202
ENSG00000005961,ITGA2B,DEE,209,0.8860181941328789,0.0695137927452959,0.515859420434079,3.367253574151326e-05,3.2066368223537933e-13,0.4685996750669461,0.97076,0.71229
ENSG00000005981,ASB4,DEE,119,0.8517880343886645,0.6818124743312217,0.6285376969126214,3.633121248851792e-07,1.7670897347490174e-11,0.9565164390632598,,0.97558
ENSG00000006007,GDE1,DEE,51,0.8451703464198346,0.0252592208071633,0.2168182227085766,9.367539881769568e-06,1.4466079243088557e-07,0.1354663058812096,,0.47144
ENSG00000006015,REX1BD,DEE,37,0.1536062190620883,0.8160741297288454,0.2246774865182599,0.0003138383145045,0.2493131057973271,0.0120564357294245,,0.044488
ENSG00000006016,CRLF1,DEE,104,0.0141578398549913,0.0542906695550929,0.862730196867064,0.0078685599775793,1.0292270162196438e-05,0.0371987432005279,,0.99191
ENSG00000006025,OSBPL7,DEE,177,0.7649075812754681,0.9787954690404116,0.179831063077491,2.975989078413909e-05,0.0010780497070378,0.3443092349140342,,0.03805
ENSG00000006042,TMEM98,DEE,59,0.6305984164481317,0.1745868424535628,0.1730035311536737,0.0042603787094212,0.0003855853720326,0.5034224627322713,,0.25102
