gene_id	gene_name	group	n_variants	p_constraint	p_pathogenicity	p_pLoF	p_const	p_unified
ENSG00000002016	RAD52	EPI	134	0.838900077745158	0.8240287067061396	0.2643122974992439	0.0013028004233044965	0.7336432713842949
ENSG00000002016	RAD52	GGE	105	0.10026180138660931	0.9163517205837843	0.49178172320763525	2.292684595425259e-12	0.2979838906662862
ENSG00000002016	RAD52	NAFE	109	0.4701560957656561	0.9720883891043002	0.5048249202693326	2.1359731089565985e-07	0.7762090768831031
ENSG00000002330	BAD	DEE	32	0.9661744117645914	0.07594523258188711	0.924467081822508	1.5935617577763604e-11	0.33207240127403176
ENSG00000002330	BAD	EPI	37	0.487061955950713	0.5351430891115222	0.29581702308450664	0.9144675293403346	0.5971708346950899
ENSG00000002330	BAD	GGE	31	0.638902275230128	0.9466111324363364	0.19331101841778028	0.0002796521495327308	0.5168369772950274
ENSG00000002330	BAD	NAFE	33	0.4386018398693746	0.07032556439315335	0.8867639262358744	0.008027518201327244	0.30738864839253904
ENSG00000002549	LAP3	DEE	117	0.39753848387773194	0.021095568505557747	0.7238668519352232	1.657938340369495e-36	0.12161649749070175
ENSG00000002549	LAP3	EPI	154	0.9895129569859622	0.1276194807399235	0.2753860402731909	0.8279979909391657	0.38820575197486007
ENSG00000002549	LAP3	GGE	125	0.7101522965085235	0.2627249987100986	0.39589635138828805	1.4580980176451148e-12	0.5962328689400895
ENSG00000002549	LAP3	NAFE	125	0.4811800515409588	0.3107771978325547	0.9586258392075218	0.0032315704574211197	0.6492077770798648
ENSG00000002587	HS3ST1	DEE	78	0.9444387382606787	0.395952223583544	0.8206258571943915	7.187947508589772e-26	0.8555675300140494
ENSG00000002587	HS3ST1	EPI	90	0.6858170659933607	0.7263423010369943	0.4019703355647326	0.733877900680331	0.7935012068138402
ENSG00000002587	HS3ST1	GGE	79	0.7841271597942667	0.4915678002861589	0.89628538312827	4.136043105498057e-10	0.9085807126118197
ENSG00000002587	HS3ST1	NAFE	82	0.7738626391963325	0.641786706233325	0.6841170747919361	0.00018299275705733006	0.9218681809041553
ENSG00000002726	AOC1	DEE	214	0.9385853610170148	0.10139053986711498	0.13656527430110735	8.932453148716685e-68	0.19191879167140244
ENSG00000002726	AOC1	EPI	273	0.5580181096846881	0.2604224155126953	0.3663668990232304	0.003730857420692451	0.5368575801449857
ENSG00000002726	AOC1	GGE	221	0.49683108335576653	0.17876393830563617	0.726700915973433	2.7682440986241913e-24	0.5096626818718795
ENSG00000002726	AOC1	NAFE	237	0.5686826851235447	0.564022175436769	0.5782338247017602	1.85491727221431e-12	0.7799953216384067
ENSG00000002745	WNT16	DEE	82	0.05068481314565014	0.03737998976780732	0.6678847195042239	4.128198458405213e-28	0.038867128081087075
ENSG00000002745	WNT16	EPI	117	0.4498027849994911	0.3721142420576553	0.7354737546288781	0.0034293043845052768	0.6667964184656541
ENSG00000002745	WNT16	GGE	91	0.13918274574659342	0.3023428096861466	0.7653007837379866	8.524200519033654e-13	0.34979514929238414
ENSG00000002745	WNT16	NAFE	96	0.655029603022039	0.6702298441063472	0.9125252602167526	8.331282621864094e-06	0.9344208483371521
ENSG00000002746	HECW1	DEE	308	0.08706699717077811	0.4793455584258909	0.9156162344193084	1.403884685937667e-93	0.3293206150291067
ENSG00000002746	HECW1	EPI	411	0.02024497785991428	0.2153885886897291	0.5098018196647158	2.3613583464307304e-05	0.062475003679743846
ENSG00000002746	HECW1	GGE	315	0.47167608117741344	0.6203080884535306	0.7232065351852728	3.1939194967905915e-36	0.8302725695507702
ENSG00000002746	HECW1	NAFE	344	0.0004950101357966828	0.11816486986492855	0.38728320149958473	2.1366713629586872e-18	0.001691074818011393
ENSG00000002822	MAD1L1	DEE	224	0.5946120428777806	0.00548049703827098	0.5653010657252303	2.4173821659246437e-70	0.03616324960893935
ENSG00000002822	MAD1L1	EPI	308	0.593241043503081	0.012456098429008945	0.5482094475232471	0.0508398716694798	0.07537645252249109
