gene_id	gene_name	group	n_variants	p_unified
ENSG00000004779	NDUFAB1	GGE	33	0.9582126783841906
ENSG00000004779	NDUFAB1	NAFE	36	0.9722558793532532
ENSG00000004799	PDK4	DEE	64	0.5406572078220426
ENSG00000004799	PDK4	EPI	75	0.2607851944099743
ENSG00000004799	PDK4	GGE	67	0.2167440767826134
ENSG00000004799	PDK4	NAFE	69	0.8293191093237205
ENSG00000004809	SLC22A16	DEE	166	0.2936748149041804
ENSG00000004809	SLC22A16	EPI	210	0.7784820081001763
ENSG00000004809	SLC22A16	GGE	167	0.8704263964033749
ENSG00000004809	SLC22A16	NAFE	185	0.3849531709654221
ENSG00000004838	ZMYND10	DEE	110	0.11265685488645917
ENSG00000004838	ZMYND10	EPI	134	0.7732198608426998
ENSG00000004838	ZMYND10	GGE	110	0.5840068433645613
ENSG00000004838	ZMYND10	NAFE	121	0.7678151976576749
ENSG00000004846	ABCB5	DEE	393	0.19451659234851984
ENSG00000004846	ABCB5	EPI	500	0.4545651597730084
ENSG00000004846	ABCB5	GGE	415	0.8196468044367557
ENSG00000004846	ABCB5	NAFE	425	0.6246203208620056
ENSG00000004864	SLC25A13	DEE	159	0.8953596104326025
ENSG00000004864	SLC25A13	EPI	207	0.8293191252225812
ENSG00000004864	SLC25A13	GGE	175	0.9065630353373982
ENSG00000004864	SLC25A13	NAFE	171	0.7715716364403296
ENSG00000004866	ST7	DEE	45	0.1843012240643902
ENSG00000004866	ST7	EPI	67	0.9170947542575296
ENSG00000004866	ST7	GGE	50	0.8567735926876717
ENSG00000004866	ST7	NAFE	51	0.5588694609490179
ENSG00000004897	CDC27	DEE	42	0.007860281016816227
ENSG00000004897	CDC27	EPI	49	0.33011118651663224
ENSG00000004897	CDC27	GGE	43	0.8827514206185042
ENSG00000004897	CDC27	NAFE	46	0.7940522131932961
ENSG00000004939	SLC4A1	DEE	216	0.9746920155846716
ENSG00000004939	SLC4A1	EPI	261	0.5835353557201677
ENSG00000004939	SLC4A1	GGE	215	0.292150730623114
ENSG00000004939	SLC4A1	NAFE	231	0.3413542483957044
ENSG00000004948	CALCR	DEE	106	0.454827791487426
ENSG00000004948	CALCR	EPI	144	0.41176741343104684
ENSG00000004948	CALCR	GGE	115	0.01618712921054885
ENSG00000004948	CALCR	NAFE	122	0.18323890124844336
ENSG00000004975	DVL2	DEE	185	0.7657745107162123
ENSG00000004975	DVL2	EPI	236	0.23273609777678889
ENSG00000004975	DVL2	GGE	183	0.8237503653106498
ENSG00000004975	DVL2	NAFE	207	0.7761580950133216
ENSG00000005001	PRSS22	DEE	74	0.28728910022527704
ENSG00000005001	PRSS22	EPI	93	0.9722704930518803
ENSG00000005001	PRSS22	GGE	75	0.9788568872959749
ENSG00000005001	PRSS22	NAFE	81	0.6236076108947388
ENSG00000005007	UPF1	DEE	87	0.2283524739767531
ENSG00000005007	UPF1	EPI	132	0.9196783556675246
ENSG00000005007	UPF1	GGE	95	0.1759082748051559
ENSG00000005007	UPF1	NAFE	105	0.6023413735233889
ENSG00000005020	SKAP2	DEE	35	0.9907606025829143
ENSG00000005020	SKAP2	EPI	54	0.5990727767315054
ENSG00000005020	SKAP2	GGE	38	0.935420313458133
ENSG00000005020	SKAP2	NAFE	44	0.6066569445915062
ENSG00000005059	MCUB	DEE	22	0.5581158797541954
ENSG00000005059	MCUB	EPI	31	0.7169732122850185
ENSG00000005059	MCUB	GGE	26	0.25412229879445486
ENSG00000005059	MCUB	NAFE	27	0.8825889238221796
ENSG00000005073	HOXA11	DEE	43	0.19723509633398426
ENSG00000005073	HOXA11	EPI	59	0.14853122274286149
ENSG00000005073	HOXA11	GGE	43	0.6502280268097045
ENSG00000005073	HOXA11	NAFE	52	0.1443863711468227
ENSG00000005075	POLR2J	DEE	25	0.9992076980639562
ENSG00000005075	POLR2J	EPI	31	0.9133613988076947
ENSG00000005075	POLR2J	GGE	27	0.7664446061910843
ENSG00000005075	POLR2J	NAFE	26	0.3505180099224872
ENSG00000005100	DHX33	DEE	179	0.5136355816143894
ENSG00000005100	DHX33	EPI	232	0.6684291061607321
ENSG00000005100	DHX33	GGE	189	0.32262415034510644
ENSG00000005100	DHX33	NAFE	195	0.5392399195161439
ENSG00000005102	MEOX1	DEE	71	0.7493612781382052
ENSG00000005102	MEOX1	EPI	78	0.10662086934275067
ENSG00000005102	MEOX1	GGE	71	0.7254126307660346
ENSG00000005102	MEOX1	NAFE	75	0.04902032480399088
ENSG00000005108	THSD7A	DEE	774	0.00013839760962490504
ENSG00000005108	THSD7A	EPI	995	0.3211817265709181
ENSG00000005108	THSD7A	GGE	820	0.48205718544443565
ENSG00000005108	THSD7A	NAFE	863	0.5800102075929183
ENSG00000005156	LIG3	DEE	218	0.7903277292590449
ENSG00000005156	LIG3	EPI	303	0.743050999016275
ENSG00000005156	LIG3	GGE	238	0.7096491542665473
ENSG00000005156	LIG3	NAFE	258	0.46757352644533823
ENSG00000005175	RPAP3	DEE	85	0.19806255880143264
ENSG00000005175	RPAP3	EPI	109	0.47608167846761984
