gene_id	gene_name	g4e	p_unified	epi25_min_p	meta_sig
ENSG00000010295	IFFO1	False	0.045607296544659205	0.096801	False
ENSG00000010310	GIPR	False	0.06822862673023336	0.031211	False
ENSG00000010318	PHF7	False	0.2564745698184165	0.28077	False
ENSG00000010319	SEMA3G	False	0.37880176645911745	0.2417	False
ENSG00000010322	NISCH	False	0.21003873084533603	0.015101	False
ENSG00000010327	STAB1	False	0.5847469935503069	0.8484	False
ENSG00000010361	FUZ	False	0.15404238096017306	0.09147	False
ENSG00000010379	SLC6A13	False	0.04311585704161369	0.51335	False
ENSG00000010438	PRSS3	False	0.1902958246169881	0.16586	False
ENSG00000010539	ZNF200	False	0.29866474849004787	0.27704	False
ENSG00000010610	CD4	False	0.4537785755926034	0.1919	False
ENSG00000010626	LRRC23	False	0.45524733032038245	0.11876	False
ENSG00000010704	HFE	False	0.6085377155086416	0.61486	False
ENSG00000010803	SCMH1	False	0.1707882317297942	0.019523	False
ENSG00000010810	FYN	False	0.47862535214633284	0.48626	False
ENSG00000010818	HIVEP2	True	0.33368812120224395	0.14051	False
ENSG00000010932	FMO1	False	0.054537478359643614	0.27323	False
ENSG00000011009	LYPLA2	False	0.5530574086263179	0.12099	False
ENSG00000011021	CLCN6	True	0.22127548962884044	0.35061	False
ENSG00000011028	MRC2	False	0.10454317931034736	0.1966	False
ENSG00000011083	SLC6A7	False	0.03295343014058821	0.051271	False
ENSG00000011105	TSPAN9	False	0.0670282443703078	0.36176	False
ENSG00000011114	BTBD7	False	0.006135484642557416	0.43285	False
ENSG00000011132	APBA3	False	0.4436098424138306	0.03222	False
ENSG00000011143	MKS1	False	0.12914339366755476	0.18297	False
ENSG00000011198	ABHD5	False	0.01970681698348067	0.1717	False
ENSG00000011243	AKAP8L	False	0.025954022903171968	0.091805	False
ENSG00000011258	MBTD1	False	0.11848382403460006	0.33881	False
ENSG00000011260	UTP18	False	0.006424270513830558	0.23969	False
ENSG00000011275	RNF216	False	0.4601767084560068	0.52493	False
ENSG00000011295	TTC19	False	0.49505025195827634	0.079193	False
ENSG00000011304	PTBP1	True	0.3766362932600099	0.39366	False
ENSG00000011332	DPF1	False	0.2687127528903042	0.26053	False
ENSG00000011347	SYT7	False	0.013552170069016007	0.13175	False
ENSG00000011376	LARS2	False	0.0856716937391996	0.21551	False
ENSG00000011405	PIK3C2A	False	0.19960334540530764	0.21453	False
ENSG00000011422	PLAUR	False	0.03071537049663957	0.25126	False
ENSG00000011426	ANLN	False	0.17823726518228725	0.47991	False
ENSG00000011451	WIZ	False	0.6205956361620788	0.32639	False
ENSG00000011454	RABGAP1	True	0.006292249487578618	0.0052442	False
ENSG00000011465	DCN	False	0.2887835865468338	0.057505	False
ENSG00000011478	QPCTL	False	0.5034007521084525	0.42193	False
ENSG00000011485	PPP5C	False	0.006172795534620545	0.035772	False
ENSG00000011523	CEP68	False	0.33480748202915056	0.32841	False
ENSG00000011566	MAP4K3	False	0.29193602888918596	0.18046	False
ENSG00000011590	ZBTB32	False	0.40795105496639306	0.2721	False
ENSG00000011600	TYROBP	False	0.20699082877622463	0.49118	False
ENSG00000012048	BRCA1	False	0.1624467822346904	0.015057	False
ENSG00000012061	ERCC1	False	0.44689863006702923	0.32926	False
